"modelSim","Alpha","S","n","q","Var","delta","Cor","loc","lambda","sd.DF_CompPot_res.Pot_MANTA.","sd.DF_CompPot_res.Pot_MANOVA."
"mvnorm",0.05,1000,300,3,"equal",0,0,1,NA,0.000983192080250176,0.00244948974278318
"mvnorm",0.05,1000,300,3,"equal",0,0.2,1,NA,0.00183484785926972,0.000983192080250173
"mvnorm",0.05,1000,300,3,"equal",0,0.4,1,NA,0.00236643191323985,0.000836660026534074
"mvnorm",0.05,1000,300,3,"equal",0,0.6,1,NA,0.00263944438597722,0.0039496835316263
"mvnorm",0.05,1000,300,3,"equal",0,0.8,1,NA,0.00187082869338697,0.00402077936060494
"mvnorm",0.05,1000,300,3,"equal",0.2,0,1,NA,0.365220344449758,0.368077528065307
"mvnorm",0.05,1000,300,3,"equal",0.2,0.2,1,NA,0.361060105799575,0.337215460301966
"mvnorm",0.05,1000,300,3,"equal",0.2,0.4,1,NA,0.343268796523463,0.292795947148636
"mvnorm",0.05,1000,300,3,"equal",0.2,0.6,1,NA,0.31557656228983,0.242994650146871
"mvnorm",0.05,1000,300,3,"equal",0.2,0.8,1,NA,0.295671270163335,0.207991105579061
"mvnorm",0.05,1000,300,3,"equal",0.4,0,1,NA,0.359666743898663,0.371914192612579
"mvnorm",0.05,1000,300,3,"equal",0.4,0.2,1,NA,0.363749226803302,0.367831709707941
"mvnorm",0.05,1000,300,3,"equal",0.4,0.4,1,NA,0.361707985350983,0.370689447741188
"mvnorm",0.05,1000,300,3,"equal",0.4,0.6,1,NA,0.360074992189127,0.367831709707941
"mvnorm",0.05,1000,300,3,"equal",0.4,0.8,1,NA,0.3592584956082,0.367423461417477
"mvnorm",0.05,1000,300,3,"equal",0.6,0,1,NA,0.32333264604738,0.3445615571515
"mvnorm",0.05,1000,300,3,"equal",0.6,0.2,1,NA,0.323740894337843,0.342928563989645
"mvnorm",0.05,1000,300,3,"equal",0.6,0.4,1,NA,0.324149142628307,0.347419295184747
"mvnorm",0.05,1000,300,3,"equal",0.6,0.6,1,NA,0.322516149466452,0.350277033217994
"mvnorm",0.05,1000,300,3,"equal",0.6,0.8,1,NA,0.318841914852277,0.345378053732428
"mvnorm",0.05,1000,300,3,"equal",0.8,0,1,NA,0.26740263025383,0.307002714428825
"mvnorm",0.05,1000,300,3,"equal",0.8,0.2,1,NA,0.266586133672903,0.306186217847897
"mvnorm",0.05,1000,300,3,"equal",0.8,0.4,1,NA,0.269035623415686,0.306186217847897
"mvnorm",0.05,1000,300,3,"equal",0.8,0.6,1,NA,0.270260368287077,0.309043955881144
"mvnorm",0.05,1000,300,3,"equal",0.8,0.8,1,NA,0.266586133672903,0.302920231524186
"mvnorm",0.05,1000,300,3,"equal",1,0,1,NA,0.202082903779612,0.256379926411306
"mvnorm",0.05,1000,300,3,"equal",1,0.2,1,NA,0.201674655489148,0.257196422992234
"mvnorm",0.05,1000,300,3,"equal",1,0.4,1,NA,0.194734434551263,0.251889195216203
"mvnorm",0.05,1000,300,3,"equal",1,0.6,1,NA,0.191876696518016,0.253522188378059
"mvnorm",0.05,1000,300,3,"equal",1,0.8,1,NA,0.193509689679871,0.255563429830378
"mvnorm",0.05,1000,300,3,"unequal",0,0,1,NA,0.00332665998663324,0.00132916013582512
"mvnorm",0.05,1000,300,3,"unequal",0,0.2,1,NA,0.00219089023002066,0.001211060141639
"mvnorm",0.05,1000,300,3,"unequal",0,0.4,1,NA,0.00460434577328854,0.00557374799095426
"mvnorm",0.05,1000,300,3,"unequal",0,0.6,1,NA,0.00365604522218567,0.00350238014308365
"mvnorm",0.05,1000,300,3,"unequal",0,0.8,1,NA,0.00314642654451045,0.00354494945897211
"mvnorm",0.05,1000,300,3,"unequal",0.2,0,1,NA,0.384569889616959,0.385386386197887
"mvnorm",0.05,1000,300,3,"unequal",0.2,0.2,1,NA,0.383753393036031,0.389877117392989
"mvnorm",0.05,1000,300,3,"unequal",0.2,0.4,1,NA,0.380895655002784,0.38783587594067
"mvnorm",0.05,1000,300,3,"unequal",0.2,0.6,1,NA,0.385386386197887,0.387019379359742
"mvnorm",0.05,1000,300,3,"unequal",0.2,0.8,1,NA,0.384978137907423,0.385794634488351
"mvnorm",0.05,1000,300,3,"unequal",0.4,0,1,NA,0.365382219965157,0.374771930645826
"mvnorm",0.05,1000,300,3,"unequal",0.4,0.2,1,NA,0.36252448193191,0.373955434064899
"mvnorm",0.05,1000,300,3,"unequal",0.4,0.4,1,NA,0.366198716546085,0.373138937483971
