"Datos","Modelo","alpha","S","n","q","Var","delta","Cor","loc","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0,0,1,NA,0.049,1.07882714271545,0.052,0.706486701965332
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0,0.2,1,NA,0.04,1.08312344551086,0.052,0.740707874298096
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0,0.4,1,NA,0.044,1.08523321151733,0.052,0.694267272949219
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0,0.6,1,NA,0.047,1.1564302444458,0.052,0.678458452224731
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0,0.8,1,NA,0.049,1.26328325271606,0.052,1.06728982925415
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.2,0,1,NA,0.965,1.11315441131592,0.964,0.709835767745972
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.2,0.2,1,NA,0.951,1.12311506271362,0.888,0.732591390609741
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.2,0.4,1,NA,0.909,1.03863930702209,0.777,0.733839750289917
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.2,0.6,1,NA,0.848,1.06823968887329,0.661,0.718883275985718
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.2,0.8,1,NA,0.795,1.1389217376709,0.573,0.711734533309937
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.4,0,1,NA,1,1.11429452896118,1,0.740318775177002
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.4,0.2,1,NA,1,1.10804486274719,1,0.976027488708496
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.4,0.4,1,NA,1,1.13440275192261,1,0.703942060470581
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.4,0.6,1,NA,1,1.09580874443054,1,0.718032598495483
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.4,0.8,1,NA,1,1.1404869556427,0.999,0.718066692352295
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.6,0,1,NA,1,1.08809971809387,1,0.756599187850952
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.6,0.2,1,NA,1,1.06974411010742,1,0.701444625854492
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.6,0.4,1,NA,1,1.36894369125366,1,0.696985483169556
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.6,0.6,1,NA,1,1.09946393966675,1,0.701620817184448
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.6,0.8,1,NA,1,1.20365428924561,1,0.704049587249756
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.8,0,1,NA,1,1.12330627441406,1,0.697544813156128
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.8,0.2,1,NA,1,1.09445881843567,1,0.713909149169922
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.8,0.4,1,NA,1,1.08940696716309,1,0.716590881347656
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.8,0.6,1,NA,1,1.11910820007324,1,0.737156867980957
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.8,0.8,1,NA,1,1.14083480834961,1,0.720708131790161
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",1,0,1,NA,1,1.0875928401947,1,0.718091011047363
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",1,0.2,1,NA,1,1.13818359375,1,0.719908237457275
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",1,0.4,1,NA,1,1.36047601699829,1,0.682309150695801
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",1,0.6,1,NA,1,1.07968592643738,1,0.773568391799927
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",1,0.8,1,NA,1,1.13750529289246,1,0.743974208831787
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0,0,1,NA,0.043,1.08637690544128,0.052,0.677048683166504
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0,0.2,1,NA,0.041,1.31651639938354,0.052,0.738495588302612
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0,0.4,1,NA,0.047,1.18019914627075,0.052,0.682397842407227
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0,0.6,1,NA,0.045,1.11388182640076,0.052,0.696670055389404
"Datos sin transformar","mvnorm",0.05,1000,300,3,"unequal",0,0.8,1,NA,0.048,1.09653449058533,0.052,0.756349802017212
