"Datos","Modelo","alpha","S","n","q","Var","delta","Cor","loc","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA","δ Potencia (%)","RPD Potencia (%)"
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0,0,1,NA,0.049,1.11971926689148,0.052,0.705285549163818,0.3,5.94059405940593
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0,0.2,1,NA,0.04,1.17829036712646,0.052,0.70381760597229,1.2,26.0869565217391
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0,0.4,1,NA,0.044,1.1012589931488,0.052,0.756084203720093,0.8,16.6666666666667
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0,0.6,1,NA,0.047,1.09225678443909,0.052,0.689352750778198,0.5,10.1010101010101
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0,0.8,1,NA,0.049,1.0720808506012,0.052,0.7064368724823,0.3,5.94059405940593
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.2,0,1,NA,0.965,1.29920220375061,0.964,0.68806791305542,0.1,0.103680663556247
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.2,0.2,1,NA,0.951,1.07772493362427,0.888,0.673742294311523,6.3,6.85154975530179
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.2,0.4,1,NA,0.909,1.05269861221313,0.777,0.713668346405029,13.2,15.6583629893238
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.2,0.6,1,NA,0.848,1.06239080429077,0.661,0.700472116470337,18.7,24.7846255798542
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.2,0.8,1,NA,0.795,1.10152697563171,0.573,0.691673278808594,22.2,32.4561403508772
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.4,0,1,NA,1,1.08706617355347,1,0.690763473510742,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.4,0.2,1,NA,1,1.07530283927917,1,0.691452741622925,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.4,0.4,1,NA,1,1.07317805290222,1,0.709106206893921,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.4,0.6,1,NA,1,1.33295440673828,1,0.690608501434326,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.4,0.8,1,NA,1,1.12743139266968,0.999,0.70161247253418,0.1,0.100050025012506
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.6,0,1,NA,1,1.07200312614441,1,0.68949818611145,0,0
"Datos sin transformar","mvnorm",0.05,1000,300,3,"equal",0.6,0.2,1,NA,1,1.08178114891052,1,0.695847034454346,0,0
