"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA"
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANOVA",0.052,0.706341743469238
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANOVA",0.052,0.708992004394531
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANOVA",0.046,0.818845272064209
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANOVA",0.052,0.72527551651001
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANOVA",0.052,0.720644950866699
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANOVA",0.052,0.699152708053589
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANOVA",0.052,0.717233657836914
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANOVA",0.05,0.744014978408813
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANOVA",0.05,0.792160511016846
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANOVA",0.051,0.674880027770996
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANOVA",0.052,0.691577672958374
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANOVA",0.052,0.712681770324707
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANOVA",0.052,0.718454837799072
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANOVA",0.05,0.702629804611206
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANOVA",0.052,0.791162014007568
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANOVA",0.051,0.714390754699707
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANOVA",0.052,0.763290882110596
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANOVA",0.052,0.694066286087036
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0,1000,"MANOVA",0.052,0.747672080993652
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0,1000,"MANOVA",0.051,0.684032678604126
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0,1000,"MANOVA",0.042,0.772204399108887
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0,1000,"MANOVA",0.051,0.754647493362427
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0,1000,"MANOVA",0.052,0.732638359069824
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0,1000,"MANOVA",0.052,0.714481592178345
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0,1000,"MANOVA",0.052,0.680489301681519
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0,1000,"MANOVA",0.052,0.704867362976074
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0,1000,"MANOVA",0.042,0.773033142089844
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0,1000,"MANOVA",0.051,0.696404933929443
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0,1000,"MANOVA",0.052,0.733479261398315
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0,1000,"MANOVA",0.052,1.10420179367065
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.03,1000,"MANOVA",0.075,0.721504926681519
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.03,1000,"MANOVA",0.071,0.721985578536987
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.03,1000,"MANOVA",0.05,0.775968790054321
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.03,1000,"MANOVA",0.073,0.676571369171143
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.03,1000,"MANOVA",0.075,0.733317852020264
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.03,1000,"MANOVA",0.075,0.71353006362915
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.03,1000,"MANOVA",0.062,0.741779565811157
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.03,1000,"MANOVA",0.062,0.807480812072754
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.03,1000,"MANOVA",0.045,0.794167041778564
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.03,1000,"MANOVA",0.062,0.716401100158691
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.03,1000,"MANOVA",0.062,1.10516166687012
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.03,1000,"MANOVA",0.062,0.693552732467651
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.03,1000,"MANOVA",0.063,0.740168809890747
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.03,1000,"MANOVA",0.061,0.810384273529053
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.03,1000,"MANOVA",0.046,0.775534152984619
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.03,1000,"MANOVA",0.062,0.736528873443604
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.03,1000,"MANOVA",0.063,0.713424444198608
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.03,1000,"MANOVA",0.063,0.692877531051636
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANOVA",0.06,0.742656946182251
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANOVA",0.058,0.722182512283325
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANOVA",0.051,0.818535327911377
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANOVA",0.058,0.784488201141357
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANOVA",0.06,0.732869863510132
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.03,1000,"MANOVA",0.06,0.694889068603516
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANOVA",0.057,0.720309972763062
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANOVA",0.058,0.728794574737549
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANOVA",0.048,0.814584016799927
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANOVA",0.057,0.714541435241699
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANOVA",0.057,0.757168769836426
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.03,1000,"MANOVA",0.057,0.713724851608276
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANOVA",0.155,0.771971464157104
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANOVA",0.157,0.701620101928711
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANOVA",0.052,0.838782548904419
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANOVA",0.155,0.734885692596436
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANOVA",0.155,0.673701286315918
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANOVA",0.155,0.69579291343689
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANOVA",0.114,0.680531024932861
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANOVA",0.115,0.722244739532471
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANOVA",0.046,0.813001871109009
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANOVA",0.115,1.08846282958984
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANOVA",0.114,0.692660570144653
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANOVA",0.114,0.753266334533691
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANOVA",0.1,0.723921298980713
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANOVA",0.101,0.704132318496704
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANOVA",0.047,0.800247430801392
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANOVA",0.101,0.763570785522461
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANOVA",0.1,0.799877882003784
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANOVA",0.1,0.696739912033081
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANOVA",0.095,0.701751232147217
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANOVA",0.095,0.810485601425171
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANOVA",0.054,0.775066137313843
