"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA","MANOVA_col","Pot_MANOVA","tcomp_MANOVA","δ Potencia (%)","RPD Potencia (%)"
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANTA",0.049,1.13009667396545,"MANOVA",0.052,0.706341743469238,0.3,5.94059405940593
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANTA",0.047,1.23954653739929,"MANOVA",0.052,0.708992004394531,0.5,10.1010101010101
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANTA",0.048,1.15667223930359,"MANOVA",0.046,0.818845272064209,0.2,4.25531914893617
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANTA",0.047,1.15250778198242,"MANOVA",0.052,0.72527551651001,0.5,10.1010101010101
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANTA",0.049,1.08727884292603,"MANOVA",0.052,0.720644950866699,0.3,5.94059405940593
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANTA",0.049,1.13165879249573,"MANOVA",0.052,0.699152708053589,0.3,5.94059405940593
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANTA",0.04,1.1089870929718,"MANOVA",0.052,0.717233657836914,1.2,26.0869565217391
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANTA",0.039,1.08523726463318,"MANOVA",0.05,0.744014978408813,1.1,24.7191011235955
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANTA",0.044,1.15470027923584,"MANOVA",0.05,0.792160511016846,0.6,12.7659574468085
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANTA",0.04,1.36307549476624,"MANOVA",0.051,0.674880027770996,1.1,24.1758241758242
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANTA",0.042,1.46498084068298,"MANOVA",0.052,0.691577672958374,1,21.2765957446808
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANTA",0.04,1.11812424659729,"MANOVA",0.052,0.712681770324707,1.2,26.0869565217391
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANTA",0.044,1.12705850601196,"MANOVA",0.052,0.718454837799072,0.8,16.6666666666667
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANTA",0.045,1.21304249763489,"MANOVA",0.05,0.702629804611206,0.5,10.5263157894737
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANTA",0.046,1.17511177062988,"MANOVA",0.052,0.791162014007568,0.6,12.2448979591837
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANTA",0.042,1.11094975471497,"MANOVA",0.051,0.714390754699707,0.9,19.3548387096774
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANTA",0.044,1.08182382583618,"MANOVA",0.052,0.763290882110596,0.8,16.6666666666667
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANTA",0.049,1.12213182449341,"MANOVA",0.052,0.694066286087036,0.3,5.94059405940593
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0,1000,"MANTA",0.047,1.14998149871826,"MANOVA",0.052,0.747672080993652,0.5,10.1010101010101
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0,1000,"MANTA",0.05,1.1638331413269,"MANOVA",0.051,0.684032678604126,0.0999999999999994,1.98019801980197
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0,1000,"MANTA",0.043,1.26839327812195,"MANOVA",0.042,0.772204399108887,0.0999999999999994,2.35294117647057
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0,1000,"MANTA",0.048,1.10195851325989,"MANOVA",0.051,0.754647493362427,0.3,6.06060606060605
