"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA","MANOVA_col","Pot_MANOVA","tcomp_MANOVA","δ Potencia (%)","RPD Potencia (%)"
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANTA",0.049,1.02363419532776,"MANOVA",0.052,0.675218105316162,0.3,5.94059405940593
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANTA",0.047,1.04818868637085,"MANOVA",0.052,0.666178941726685,0.5,10.1010101010101
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANTA",0.05,1.11672878265381,"MANOVA",0.051,0.748034238815308,0.0999999999999994,1.98019801980197
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANTA",0.047,1.05366039276123,"MANOVA",0.052,0.885570287704468,0.5,10.1010101010101
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANTA",0.04,1.06200647354126,"MANOVA",0.052,0.667520761489868,1.2,26.0869565217391
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANTA",0.039,1.0603449344635,"MANOVA",0.05,0.692108392715454,1.1,24.7191011235955
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANTA",0.039,1.36636996269226,"MANOVA",0.045,0.766053438186646,0.6,14.2857142857143
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANTA",0.04,1.02568459510803,"MANOVA",0.051,0.68363356590271,1.1,24.1758241758242
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANTA",0.044,1.09037113189697,"MANOVA",0.052,0.703711748123169,0.8,16.6666666666667
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANTA",0.045,1.1453218460083,"MANOVA",0.05,0.682708978652954,0.5,10.5263157894737
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANTA",0.046,1.10932397842407,"MANOVA",0.043,0.761147260665894,0.3,6.74157303370787
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANTA",0.042,1.06314992904663,"MANOVA",0.051,0.682759046554565,0.9,19.3548387096774
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0,1000,"MANTA",0.047,1.08398008346558,"MANOVA",0.052,0.718762397766113,0.5,10.1010101010101
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0,1000,"MANTA",0.05,1.08821845054626,"MANOVA",0.051,0.70234203338623,0.0999999999999994,1.98019801980197
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0,1000,"MANTA",0.049,1.40293145179749,"MANOVA",0.044,0.776942014694214,0.5,10.752688172043
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0,1000,"MANTA",0.048,1.06250739097595,"MANOVA",0.051,0.683245182037354,0.3,6.06060606060605
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0,1000,"MANTA",0.049,1.09186339378357,"MANOVA",0.052,0.674410343170166,0.3,5.94059405940593
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0,1000,"MANTA",0.049,1.17708706855774,"MANOVA",0.052,0.689333915710449,0.3,5.94059405940593
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0,1000,"MANTA",0.048,1.11218404769897,"MANOVA",0.045,0.760748863220215,0.3,6.45161290322581
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0,1000,"MANTA",0.048,1.03354501724243,"MANOVA",0.051,0.695131301879883,0.3,6.06060606060605
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.0175,1000,"MANTA",0.059,1.10231828689575,"MANOVA",0.056,0.664946794509888,0.3,5.21739130434782
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.0175,1000,"MANTA",0.056,1.0860698223114,"MANOVA",0.056,0.720030546188354,0,0
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.0175,1000,"MANTA",0.043,1.09717845916748,"MANOVA",0.044,0.816521167755127,0.1,2.29885057471265
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.0175,1000,"MANTA",0.056,1.04004383087158,"MANOVA",0.055,0.702210426330566,0.1,1.8018018018018
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.0175,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.0175,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.0175,1000,"MANTA",0.058,1.12461519241333,"MANOVA",0.055,0.720473766326904,0.3,5.30973451327434
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.0175,1000,"MANTA",0.056,1.05296468734741,"MANOVA",0.053,0.699483156204224,0.3,5.50458715596331
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.0175,1000,"MANTA",0.048,1.07765889167786,"MANOVA",0.052,0.7430579662323,0.4,7.99999999999999
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.0175,1000,"MANTA",0.058,1.04255270957947,"MANOVA",0.053,0.673649549484253,0.5,9.00900900900902
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.0175,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.0175,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0175,1000,"MANTA",0.061,1.03603792190552,"MANOVA",0.053,0.703671932220459,0.8,14.0350877192982
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0175,1000,"MANTA",0.061,1.02088212966919,"MANOVA",0.051,0.672132015228271,1,17.8571428571429
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0175,1000,"MANTA",0.057,1.07169389724731,"MANOVA",0.049,0.733706474304199,0.8,15.0943396226415
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0175,1000,"MANTA",0.059,1.04573178291321,"MANOVA",0.053,0.689254760742188,0.6,10.7142857142857
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0175,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0175,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0175,1000,"MANTA",0.059,1.07894682884216,"MANOVA",0.054,0.700832366943359,0.5,8.84955752212389
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0175,1000,"MANTA",0.058,1.09559488296509,"MANOVA",0.05,0.689757108688354,0.8,14.8148148148148
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0175,1000,"MANTA",0.056,1.08950018882751,"MANOVA",0.048,0.768383502960205,0.8,15.3846153846154
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0175,1000,"MANTA",0.059,1.07014966011047,"MANOVA",0.052,0.727901697158813,0.7,12.6126126126126
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0175,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0175,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0175,1000,"MANTA",0.056,1.06938099861145,"MANOVA",0.053,0.687810182571411,0.3,5.50458715596331
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0175,1000,"MANTA",0.055,1.07734489440918,"MANOVA",0.051,0.681071281433105,0.4,7.54716981132076
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0175,1000,"MANTA",0.055,1.11299777030945,"MANOVA",0.048,0.73192310333252,0.7,13.5922330097087
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0175,1000,"MANTA",0.055,1.09782576560974,"MANOVA",0.051,0.650551557540894,0.4,7.54716981132076
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0175,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0175,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.035,1000,"MANTA",0.085,1.10198473930359,"MANOVA",0.083,0.666584014892578,0.2,2.38095238095238
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.035,1000,"MANTA",0.081,1.1164915561676,"MANOVA",0.082,0.663718461990356,0.1,1.22699386503068
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.035,1000,"MANTA",0.042,1.11013388633728,"MANOVA",0.045,0.758579730987549,0.3,6.89655172413792
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.035,1000,"MANTA",0.084,1.17627167701721,"MANOVA",0.083,0.681263208389282,0.1,1.19760479041916
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.035,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.035,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANTA",0.073,1.08198404312134,"MANOVA",0.067,0.663851261138916,0.599999999999999,8.57142857142856
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANTA",0.074,1.06771492958069,"MANOVA",0.068,0.698026418685913,0.599999999999999,8.4507042253521
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANTA",0.049,1.10611438751221,"MANOVA",0.052,0.964414596557617,0.3,5.94059405940593
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANTA",0.073,1.03714799880981,"MANOVA",0.067,0.666661024093628,0.599999999999999,8.57142857142856
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.035,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.035,1000,"MANTA",0.087,1.07575392723083,"MANOVA",0.068,0.666043996810913,1.9,24.516129032258
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.035,1000,"MANTA",0.085,1.10828876495361,"MANOVA",0.067,0.670706510543823,1.8,23.6842105263158
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.035,1000,"MANTA",0.056,1.18958020210266,"MANOVA",0.048,0.741719007492065,0.8,15.3846153846154
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.035,1000,"MANTA",0.086,1.06888794898987,"MANOVA",0.067,0.660027742385864,1.9,24.8366013071895
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.035,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.035,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.035,1000,"MANTA",0.079,1.16257834434509,"MANOVA",0.064,0.705890893936157,1.5,20.979020979021
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.035,1000,"MANTA",0.079,1.12655758857727,"MANOVA",0.063,0.69788932800293,1.6,22.5352112676056
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.035,1000,"MANTA",0.06,1.11569166183472,"MANOVA",0.049,0.773931741714478,1.1,20.1834862385321
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.035,1000,"MANTA",0.08,1.07248139381409,"MANOVA",0.063,0.677871227264404,1.7,23.7762237762238
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.035,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.035,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.035,1000,"MANTA",0.073,1.09275269508362,"MANOVA",0.063,0.697251319885254,1,14.7058823529412
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.035,1000,"MANTA",0.072,1.06002926826477,"MANOVA",0.059,0.917653322219849,1.3,19.8473282442748
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.035,1000,"MANTA",0.056,1.20811653137207,"MANOVA",0.049,0.773717164993286,0.7,13.3333333333333
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.035,1000,"MANTA",0.075,1.04131197929382,"MANOVA",0.06,0.702214241027832,1.5,22.2222222222222
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.035,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.035,1000,"MANTA",NA,NA,"MANOVA",NA,NA,NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.0525,1000,"MANTA",0.134,1.21353816986084,"MANOVA",0.132,0.66581130027771,0.2,1.50375939849624
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.0525,1000,"MANTA",0.132,1.10054397583008,"MANOVA",0.131,0.66782283782959,0.1,0.760456273764259
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.0525,1000,"MANTA",0.045,1.11765646934509,"MANOVA",0.045,0.738580703735352,0,0
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.0525,1000,"MANTA",0.13,1.07374286651611,"MANOVA",0.128,0.651279926300049,0.2,1.55038759689923
