"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA","MANOVA_col","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",0.056,1.07689380645752,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",0.054,1.03740167617798,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",0.057,1.05506300926208,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",0.053,1.02173042297363,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",0.093,1.10377359390259,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",0.094,1.04236149787903,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",0.056,1.0648729801178,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",0.095,1.05738973617554,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",0.272,1.09256625175476,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",0.272,1.04676628112793,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",0.055,1.07581210136414,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",0.273,1.02254295349121,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.006,1000,"MANTA",0.593,1.12943696975708,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.006,1000,"MANTA",0.59,1.04101037979126,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.006,1000,"MANTA",0.057,1.07162642478943,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.006,1000,"MANTA",0.593,1.02184820175171,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.006,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.006,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",0.839,1.11821985244751,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",0.839,1.02889060974121,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",0.056,1.06528258323669,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",0.841,1.02474451065063,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.01,1000,"MANTA",0.97,1.09486651420593,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.01,1000,"MANTA",0.971,1.03894877433777,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.01,1000,"MANTA",0.068,1.06851625442505,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.01,1000,"MANTA",0.971,1.01931834220886,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.01,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.01,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.012,1000,"MANTA",0.998,1.08965873718262,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.012,1000,"MANTA",0.998,1.05436849594116,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.012,1000,"MANTA",0.085,1.10374999046326,"MANOVA",NA,NA
