"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","Método","Potencia","tcomp"
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",0.054,1.16007781028748
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",0.052,1.09745001792908
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",0.055,1.13844895362854
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",0.051,1.10306286811829
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,5e-04,1000,"MANTA",0.05,1.17640423774719
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,5e-04,1000,"MANTA",0.049,1.06215763092041
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,5e-04,1000,"MANTA",0.051,1.09184098243713
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,5e-04,1000,"MANTA",0.05,1.07712364196777
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,5e-04,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,5e-04,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.001,1000,"MANTA",0.058,1.16070818901062
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.001,1000,"MANTA",0.059,1.0694215297699
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.001,1000,"MANTA",0.058,1.15486001968384
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.001,1000,"MANTA",0.057,1.12049841880798
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.001,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.001,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0015,1000,"MANTA",0.074,1.19734406471252
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0015,1000,"MANTA",0.076,1.0648295879364
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0015,1000,"MANTA",0.072,1.13161587715149
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0015,1000,"MANTA",0.075,1.07901477813721
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0015,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0015,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",0.091,1.18046021461487
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",0.092,1.07706332206726
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",0.092,1.11267852783203
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",0.093,1.07857084274292
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0025,1000,"MANTA",0.121,1.1752724647522
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0025,1000,"MANTA",0.121,1.06724953651428
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0025,1000,"MANTA",0.121,1.10618877410889
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0025,1000,"MANTA",0.122,1.10225248336792
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0025,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0025,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.003,1000,"MANTA",0.157,1.18235492706299
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.003,1000,"MANTA",0.156,1.11136412620544
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.003,1000,"MANTA",0.149,1.11246728897095
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.003,1000,"MANTA",0.153,1.05467486381531
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.003,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.003,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0035,1000,"MANTA",0.206,1.16945934295654
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0035,1000,"MANTA",0.209,1.10241866111755
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0035,1000,"MANTA",0.209,1.09784460067749
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0035,1000,"MANTA",0.208,1.0998592376709
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0035,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0035,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",0.272,1.1616096496582
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",0.272,1.09264397621155
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",0.277,1.10580325126648
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",0.273,1.31740808486938
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0045,1000,"MANTA",0.359,1.18659543991089
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0045,1000,"MANTA",0.36,1.06813812255859
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0045,1000,"MANTA",0.358,1.11182808876038
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0045,1000,"MANTA",0.36,1.06801247596741
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0045,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0045,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.005,1000,"MANTA",0.428,1.24518704414368
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.005,1000,"MANTA",0.426,1.07449078559875
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.005,1000,"MANTA",0.431,1.09816956520081
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.005,1000,"MANTA",0.43,1.05963349342346
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.005,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.005,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0055,1000,"MANTA",0.509,1.16557788848877
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0055,1000,"MANTA",0.507,1.07528686523438
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0055,1000,"MANTA",0.51,1.11042094230652
